[mandelbrot serial]:		[486.482] ms
Wrote image file mandelbrot-serial.ppm
Thread 0 took 36.965 ms
Thread 8 took 49.426 ms
Thread 2 took 62.248 ms
Thread 3 took 62.205 ms
Thread 4 took 62.215 ms
Thread 6 took 62.253 ms
Thread 7 took 62.247 ms
Thread 5 took 62.258 ms
Thread 1 took 70.686 ms
Thread 9 took 59.068 ms
Thread 10 took 59.086 ms
Thread 13 took 59.101 ms
Thread 14 took 59.102 ms
Thread 11 took 59.121 ms
Thread 12 took 59.126 ms
Thread 15 took 49.829 ms
Thread 3 took 34.482 ms
Thread 1 took 50.117 ms
Thread 5 took 58.210 ms
Thread 2 took 60.353 ms
Thread 4 took 60.358 ms
Thread 6 took 60.415 ms
Thread 7 took 60.422 ms
Thread 0 took 67.484 ms
Thread 15 took 55.290 ms
Thread 14 took 56.333 ms
Thread 13 took 55.426 ms
Thread 12 took 57.549 ms
Thread 11 took 55.569 ms
Thread 10 took 55.576 ms
Thread 9 took 59.833 ms
Thread 8 took 47.210 ms
Thread 3 took 34.097 ms
Thread 4 took 34.085 ms
Thread 7 took 53.370 ms
Thread 0 took 56.144 ms
Thread 1 took 61.001 ms
Thread 2 took 61.103 ms
Thread 5 took 61.120 ms
Thread 6 took 61.105 ms
Thread 13 took 48.963 ms
Thread 9 took 49.196 ms
Thread 14 took 58.316 ms
Thread 15 took 58.431 ms
Thread 12 took 58.540 ms
Thread 11 took 58.588 ms
Thread 10 took 47.070 ms
Thread 8 took 36.104 ms
Thread 3 took 37.644 ms
Thread 5 took 37.687 ms
Thread 7 took 51.873 ms
Thread 4 took 53.222 ms
Thread 6 took 55.133 ms
Thread 13 took 50.170 ms
Thread 1 took 62.442 ms
Thread 2 took 63.080 ms
Thread 14 took 59.762 ms
Thread 15 took 51.780 ms
Thread 0 took 72.329 ms
Thread 12 took 59.910 ms
Thread 11 took 60.053 ms
Thread 9 took 57.301 ms
Thread 10 took 57.869 ms
Thread 8 took 41.201 ms
Thread 6 took 34.449 ms
Thread 7 took 34.481 ms
Thread 1 took 60.791 ms
Thread 5 took 60.708 ms
Thread 3 took 60.870 ms
Thread 2 took 60.879 ms
Thread 4 took 60.879 ms
Thread 0 took 62.617 ms
Thread 11 took 56.278 ms
Thread 14 took 56.381 ms
Thread 15 took 56.386 ms
Thread 12 took 58.396 ms
Thread 13 took 56.405 ms
Thread 9 took 53.023 ms
Thread 10 took 47.753 ms
Thread 8 took 35.917 ms
[mandelbrot thread]:		[73.729] ms
Wrote image file mandelbrot-thread.ppm
				(6.60x speedup from 16 threads)
[mandelbrot serial]:		[283.449] ms
Wrote image file mandelbrot-serial.ppm
Thread 3 took 20.551 ms
Thread 0 took 20.597 ms
Thread 2 took 33.629 ms
Thread 1 took 33.653 ms
Thread 5 took 33.528 ms
Thread 4 took 33.599 ms
Thread 6 took 33.538 ms
Thread 7 took 33.531 ms
Thread 14 took 28.763 ms
Thread 13 took 28.799 ms
Thread 12 took 28.818 ms
Thread 11 took 28.850 ms
Thread 9 took 28.885 ms
Thread 8 took 28.938 ms
Thread 10 took 20.998 ms
Thread 15 took 20.881 ms
Thread 1 took 20.496 ms
Thread 5 took 20.395 ms
Thread 6 took 20.396 ms
Thread 0 took 20.488 ms
Thread 3 took 23.422 ms
Thread 2 took 28.635 ms
Thread 4 took 31.690 ms
Thread 7 took 33.812 ms
Thread 14 took 20.573 ms
Thread 13 took 28.251 ms
Thread 12 took 20.648 ms
Thread 11 took 28.337 ms
Thread 9 took 28.364 ms
Thread 10 took 28.387 ms
Thread 8 took 20.775 ms
Thread 15 took 20.701 ms
Thread 1 took 21.017 ms
Thread 2 took 21.009 ms
Thread 3 took 20.996 ms
Thread 4 took 22.947 ms
Thread 6 took 28.770 ms
Thread 7 took 30.675 ms
Thread 15 took 20.661 ms
Thread 0 took 31.751 ms
Thread 5 took 33.488 ms
Thread 10 took 27.478 ms
Thread 14 took 28.191 ms
Thread 13 took 20.313 ms
Thread 12 took 29.279 ms
Thread 11 took 20.375 ms
Thread 9 took 20.399 ms
Thread 8 took 20.995 ms
Thread 7 took 22.370 ms
Thread 4 took 22.453 ms
Thread 11 took 22.428 ms
Thread 6 took 33.212 ms
Thread 3 took 34.113 ms
Thread 5 took 35.154 ms
Thread 2 took 35.233 ms
Thread 1 took 35.276 ms
Thread 0 took 39.034 ms
Thread 13 took 29.910 ms
Thread 15 took 31.246 ms
Thread 14 took 31.279 ms
Thread 12 took 31.369 ms
Thread 10 took 22.806 ms
Thread 9 took 34.901 ms
Thread 8 took 21.021 ms
Thread 5 took 20.709 ms
Thread 7 took 20.698 ms
Thread 2 took 33.970 ms
Thread 1 took 33.995 ms
Thread 6 took 33.877 ms
Thread 3 took 33.954 ms
Thread 4 took 33.942 ms
Thread 15 took 26.229 ms
Thread 14 took 31.858 ms
Thread 13 took 29.930 ms
Thread 12 took 29.972 ms
Thread 11 took 32.006 ms
Thread 0 took 43.277 ms
Thread 9 took 34.209 ms
Thread 10 took 30.988 ms
Thread 8 took 21.254 ms
[mandelbrot thread]:		[41.973] ms
Wrote image file mandelbrot-thread.ppm
				(6.75x speedup from 16 threads)
